标题,状态,类型,模块,描述,验收,Impact,Confidence,Ease,Size,Owner
BL-1 IndigoBeat 模型加图片字段,待开始,Feature,全栈,"IndigoBeat 加 image_url + mood_image_url（后端 Optional / 前端 optional）；新增 IndigoEditBeatRequest 模型。","字段加完，现有生成/导出流程不报错。",9,10,10,XS,
BL-2 generate_indigo_images 接入,待开始,Feature,后端,"image_generator.py 新增 _indigo_beat_prompt / _indigo_mood_prompt / generate_indigo_images。遍历 6 beats × 2 张（image + mood），串行调 Fal / Gemini / Unsplash。","传入 IndigoStoryUnit → 返回带 12 张图 URL。",9,9,8,M,
BL-3 /api/indigo/generate 串联图片,待开始,Feature,后端,"routes.py 改 indigo_generate：文案生成后自动调 generate_indigo_images。前端 API 调用不变。","前端一键生成 → 22 页带真实图片返回。",9,10,9,S,
BL-4 POST /api/indigo/edit-beat,待开始,Feature,后端,"indigo_generator.py 新增 edit_indigo_beat：LLM 只改指定 beat，严格保持 JSON schema，返回完整 story_unit。","传 beat_index=2 + 微调指令 → 只改 beat[2]，其余不变。",7,8,8,S,
BL-5 IndigoSlides 图片条件渲染,待开始,Feature,前端,"4 处 ImgPh → beat.image_url ? <img> : 原占位。BeatCover 右侧 / Moodboard col1 底部 / col2 网格 / col3 照片。","有图显示图片，无图显示渐变占位，布局不跳。",9,10,9,S,
BL-6 IndigoPreview Beat 编辑交互,待开始,Feature,前端,"BeatCover/Moodboard hover 遮罩 + 编辑按钮 → 底部 slide-up 面板 → 调 edit-beat API → 更新 story state。","点击 BeatCover → 输入微调指令 → beat 更新 → 导出 PPTX 含修改。",7,8,7,M,
BL-7 FastLane 编辑状态管理,待开始,Feature,前端,"api.ts 新增 editIndigoBeat；FastLane 加 editingBeatIndex / editInstruction state；编辑中/完成/error 状态。","完整编辑流程闭环。",6,9,8,S,
BL-8 固化故事线与元素构成文档,待开始,Docs,文档,"把当前 22 页故事线、IndigoStoryUnit schema、6 Beat 空间映射、Moodboard 三列元素、前端预览与 PPTX 导出元素构成整理进 repo 文档；评估将本地 indigo-ppt-methodology.md 正式移动到 docs/story-system.md。","repo 中存在一份可引用的故事系统文档，覆盖页序、字段、元素构成、生成流程；README 链接到该文档；明确是否保存每次生成的 story JSON 样例。",7,10,9,S,
BL-9 Repo 结构整理与可能重建,待开始,Chore,工程管理,"盘点当前仓库混乱来源（未跟踪文档、旧 PRD、Render 遗留、前后端职责、部署配置、实验代码）；评估是在现有 repo 内重组，还是新建干净 repo 后迁移有效代码与文档。","产出 repo 整理方案：保留/迁移/归档清单、目标目录结构、迁移步骤、风险与回滚方式；如果新建 repo，明确初始化分支、部署密钥、GitHub Actions、Vercel/Fly 指向切换计划；整理过程中当前 main 可部署链路不被破坏。",8,9,6,L,
BL-10 账号登录与用户会话,待验收,Feature,全栈,"Demo 阶段已形成邮箱密码注册/登录/退出、Bearer token 会话、接口登录拦截、用户生成历史、历史打开和 401 回登录闭环；当前实现偏 demo，需要后续拆分生产级安全、持久化、权限和验收项。","本地 demo 可注册/登录/退出；刷新页面后保持登录态；后端接口能识别当前用户；未登录用户访问受保护功能会被引导登录；错误密码、过期会话、退出后请求等基础异常路径有明确表现；后端 auth/history 回归测试、前端 tsc/lint/build 和本地 auth smoke test 通过。",9,8,5,L,
